#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,nodo
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T20:58:00Z,60.09166666666667,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T21:32:40Z,62.01428571428571,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T21:41:20Z,61.355499999999985,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T21:58:40Z,61.011428571428574,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T22:07:20Z,60.65333333333334,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T22:16:00Z,61.80315789473684,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T22:24:40Z,66.25359999999999,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T22:33:20Z,57.63545454545454,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T22:42:00Z,55.97531250000001,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T22:50:40Z,58.092727272727274,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T22:59:20Z,58.31375,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T23:08:00Z,57.646363636363624,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T23:16:40Z,56.5834375,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T23:25:20Z,58.837878787878786,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T23:34:00Z,61.846250000000005,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T23:42:40Z,60.62,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-27T23:51:20Z,61.308437500000004,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-28T00:00:00Z,61.42393939393938,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-28T00:08:40Z,60.438750000000006,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-28T00:17:20Z,58.429393939393954,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-28T00:26:00Z,59.072187500000005,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-28T00:34:40Z,58.081212121212126,leq,leq,1
,,0,2025-06-27T18:00:00Z,2025-06-29T22:00:00Z,2025-06-28T00:43:20Z,58.95218750000001,leq,leq,1
