_time,_value,_field,_measurement,nodo
2025-07-01 00:00:00,45.07,leq,leq,1
2025-07-01 00:05:00,74.9,leq,leq,1
2025-07-01 00:10:00,50.97,leq,leq,1
2025-07-01 00:15:00,40.37,leq,leq,1
2025-07-01 00:20:00,58.36,leq,leq,1
2025-07-01 00:25:00,46.04,leq,leq,1
2025-07-01 00:30:00,65.35,leq,leq,1
2025-07-01 00:35:00,78.12,leq,leq,1
2025-07-01 00:40:00,63.37,leq,leq,1
2025-07-01 00:45:00,43.51,leq,leq,1
2025-07-01 00:50:00,61.13,leq,leq,1
2025-07-01 00:55:00,50.45,leq,leq,1
2025-07-01 01:00:00,55.65,leq,leq,1
2025-07-01 01:05:00,54.27,leq,leq,1
2025-07-01 01:10:00,47.49,leq,leq,1
2025-07-01 01:15:00,65.48,leq,leq,1
2025-07-01 01:20:00,71.59,leq,leq,1
2025-07-01 01:25:00,69.89,leq,leq,1
2025-07-01 01:30:00,61.99,leq,leq,1
2025-07-01 01:35:00,72.85,leq,leq,1
2025-07-01 01:40:00,42.94,leq,leq,1
2025-07-01 01:45:00,56.07,leq,leq,1
2025-07-01 01:50:00,57.6,leq,leq,1
2025-07-01 01:55:00,76.27,leq,leq,1
2025-07-01 02:00:00,51.88,leq,leq,1
2025-07-01 02:05:00,79.09,leq,leq,1
2025-07-01 02:10:00,45.39,leq,leq,1
2025-07-01 02:15:00,44.73,leq,leq,1
2025-07-01 02:20:00,58.77,leq,leq,1
2025-07-01 02:25:00,44.62,leq,leq,1
2025-07-01 02:30:00,53.28,leq,leq,1
2025-07-01 02:35:00,57.13,leq,leq,1
2025-07-01 02:40:00,46.41,leq,leq,1
2025-07-01 02:45:00,40.6,leq,leq,1
2025-07-01 02:50:00,78.3,leq,leq,1
2025-07-01 02:55:00,51.67,leq,leq,1
2025-07-01 03:00:00,74.28,leq,leq,1
2025-07-01 03:05:00,65.99,leq,leq,1
2025-07-01 03:10:00,73.34,leq,leq,1
2025-07-01 03:15:00,43.88,leq,leq,1
2025-07-01 03:20:00,53.04,leq,leq,1
2025-07-01 03:25:00,78.36,leq,leq,1
2025-07-01 03:30:00,76.19,leq,leq,1
2025-07-01 03:35:00,61.06,leq,leq,1
2025-07-01 03:40:00,73.1,leq,leq,1
2025-07-01 03:45:00,74.86,leq,leq,1
2025-07-01 03:50:00,78.78,leq,leq,1
2025-07-01 03:55:00,77.03,leq,leq,1
2025-07-01 04:00:00,56.7,leq,leq,1
2025-07-01 04:05:00,71.08,leq,leq,1
2025-07-01 04:10:00,46.17,leq,leq,1
2025-07-01 04:15:00,61.97,leq,leq,1
2025-07-01 04:20:00,44.85,leq,leq,1
2025-07-01 04:25:00,77.1,leq,leq,1
2025-07-01 04:30:00,55.5,leq,leq,1
2025-07-01 04:35:00,49.21,leq,leq,1
2025-07-01 04:40:00,77.78,leq,leq,1
2025-07-01 04:45:00,78.5,leq,leq,1
2025-07-01 04:50:00,62.49,leq,leq,1
2025-07-01 04:55:00,78.87,leq,leq,1
2025-07-01 05:00:00,54.94,leq,leq,1
2025-07-01 05:05:00,63.44,leq,leq,1
2025-07-01 05:10:00,65.51,leq,leq,1
2025-07-01 05:15:00,52.0,leq,leq,1
2025-07-01 05:20:00,69.68,leq,leq,1
2025-07-01 05:25:00,69.54,leq,leq,1
2025-07-01 05:30:00,57.86,leq,leq,1
2025-07-01 05:35:00,54.29,leq,leq,1
2025-07-01 05:40:00,71.86,leq,leq,1
2025-07-01 05:45:00,55.93,leq,leq,1
2025-07-01 05:50:00,58.6,leq,leq,1
2025-07-01 05:55:00,42.2,leq,leq,1
2025-07-01 06:00:00,48.79,leq,leq,1
2025-07-01 06:05:00,78.27,leq,leq,1
2025-07-01 06:10:00,70.36,leq,leq,1
2025-07-01 06:15:00,73.98,leq,leq,1
2025-07-01 06:20:00,61.95,leq,leq,1
2025-07-01 06:25:00,59.89,leq,leq,1
2025-07-01 06:30:00,55.24,leq,leq,1
2025-07-01 06:35:00,41.93,leq,leq,1
2025-07-01 06:40:00,79.56,leq,leq,1
2025-07-01 06:45:00,59.56,leq,leq,1
